resp_var_type;stratum;init2;profile;nat_haz;n_trees;learning_rate;deviance.mean;deviance.se;correlation.mean;correlation.se
diff;SA;ST: young;IP;A;2450;0.01;4.974081675533865e-4;6.306536283052964e-5;0.9458082544098376;0.007739074907741796
diff;SA;ST: young;IP;LED;1900;0.02;1.9407798916231078e-4;1.818995484779531e-5;0.8765140572970814;0.018464951752157642
diff;SA;ST: structured;MP;A;2300;0.01;6.627390933434284e-4;7.605307744763869e-5;0.7274438221776216;0.04780673438726615
diff;SA;ST: structured;MP;LED;1700;0.01;0.00105886424545422;1.3206060657388339e-4;0.8427621749285253;0.031152691050279534
diff;SA;ST: structured;IP;A;1150;0.01;6.762048098115225e-4;6.737827265187946e-5;0.9166773215352227;0.0077738301044115495
diff;SA;ST: structured;IP;LED;1150;0.01;6.762048098115225e-4;6.737827265187946e-5;0.9166773215352227;0.0077738301044115495
diff;SA;ST: mature;MP;A;1700;0.01;2.70173500486209e-4;3.664805528399119e-5;0.6272480441788015;0.04213647721971809
diff;SA;ST: mature;MP;LED;1050;0.01;3.473807368581646e-4;4.27064059123302e-5;0.5953111594760638;0.04830257566795216
diff;SA;ST: mature;IP;A;1300;0.01;1.6236435570410353e-4;1.2592764924680431e-5;0.8737047852866947;0.01366699394800739
diff;SA;ST: mature;IP;LED;1400;0.009;1.632820975723428e-4;1.4140709707993827e-5;0.8820321584785725;0.012706398715305389
diff;SA;LT;MP;A;1450;0.01;0.0012443986766374408;1.4087552756096426e-4;0.7558339898786882;0.03226252549638578
diff;SA;LT;MP;LED;1400;0.009;0.0019321754957424024;1.7444297007953292e-4;0.9043389121589318;0.009336300536803383
diff;SA;LT;IP;A;1150;0.01;0.0014889932925246708;1.3179651632105847e-4;0.8248700995885506;0.02172539424805883
diff;SA;LT;IP;LED;1150;0.01;0.0014740236190325631;1.3239725784258528e-4;0.8267404124750988;0.021364569015407706
